route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000060,OCESN13138F3533822:2025-01-24T00:40:05Z,13138,1,183,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000032,OCESN13138F3571313:2025-01-10T00:20:33Z,13138,1,184,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000023,OCESN13138F3605766:2025-01-22T00:42:25Z,13138,1,185,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000048,OCESN13138F3631285:2025-01-22T00:42:25Z,13138,1,186,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000028,OCESN13138F3827011:2025-01-22T00:42:25Z,13138,1,187,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000043,OCESN13138F3827182:2025-01-22T00:42:25Z,13138,1,188,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000061,OCESN13139F3516117:2025-01-24T00:40:05Z,13139,0,189,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000034,OCESN13139F3535316:2025-01-23T00:40:07Z,13139,0,190,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000048,OCESN13139F3604130:2025-01-23T00:40:07Z,13139,0,191,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000035,OCESN13140F3517290:2025-01-22T00:42:25Z,13140,1,192,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000034,OCESN13140F3521699:2024-11-29T10:03:28Z,13140,1,193,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000044,OCESN13140F3533581:2025-01-24T00:40:05Z,13140,1,194,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000022,OCESN13140F3541959:2025-01-10T00:20:33Z,13140,1,195,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000025,OCESN13140F3546034:2025-01-10T00:20:33Z,13140,1,196,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000045,OCESN13140F3588717:2025-01-10T00:20:33Z,13140,1,197,
